Country (Country),Species (ASFIS species),Fishing area (FAO major fishing area),Unit (Unit),2010,2011,2012,2013,2014,2015,2016,2017
Other nei,Swordfish,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Peru,Humpback whale,Marine areas outside the Antarctic,Number,-,-,-,-,2,-,-,-
Russian Federation,Skipjack tuna,"Pacific, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Isle of Man,Haddock,"Atlantic, Northeast",Tonnes - live weight,0 0,-,0 0,0 0,0 0,0 0,1,15
Other nei,Albacore,"Atlantic, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Taiwan Province of China,Chinese softshell turtle,Asia - Inland waters,Tonnes - live weight,-,-,-,-,-,-,-,-
Un. Sov. Soc. Rep.,Greenland halibut,"Pacific, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Un. Sov. Soc. Rep.,Southern blue whiting,"Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Bigeye tuna,"Pacific, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
"Korea, Republic of",Marine crabs nei,"Atlantic, Eastern Central",Tonnes - live weight,1,-,-,-,-,-,-,-
Georgia,Black and Caspian Sea sprat,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,-,-,-
Ireland,Whelk,"Atlantic, Northeast",Tonnes - live weight,2976,3047,3442,2655,2131,3296,2621,2525
Netherlands,Tope shark,"Atlantic, Northeast",Tonnes - live weight,...,15,17,9,11,8,8,19
Saint Helena,Skipjack tuna,"Atlantic, Southeast",Tonnes - live weight,250,371,29,7,26,6,127,8
Mayotte,Albacore,"Indian Ocean, Western",Tonnes - live weight,38,344,338,120,8,5 F,5 F,5 F
Saint Vincent/Grenadines,Skipjack tuna,"Atlantic, Western Central",Tonnes - live weight,46,50,-,36,39,47,...,54
Taiwan Province of China,Amberjacks nei,"Pacific, Northwest",Tonnes - live weight,-,-,-,-,2083,1803,1835,1079
Uruguay,"Rays, stingrays, mantas nei","Atlantic, Southwest",Tonnes - live weight,1104,1456,1038,726,1009,652,423,972
United Arab Emirates,Queenfishes,"Indian Ocean, Western",Tonnes - live weight,575,543,964,2500 F,4026,4010,4010 F,4010 F
Un. Sov. Soc. Rep.,"Rays, stingrays, mantas nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Panama,Blue whale,Antarctic areas nei,Number,-,-,-,-,-,-,-,-
"Korea, Republic of",Marine crabs nei,"Atlantic, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Netherlands,Smooth-hound,"Atlantic, Northeast",Tonnes - live weight,...,0 0,4,2,17,25,23,23
New Zealand,Dogfish sharks nei,"Pacific, Southwest",Tonnes - live weight,565,464,521,369,214,196,246,249
Saint Vincent/Grenadines,Skipjack tuna,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,32
Ukraine,Southern blue whiting,"Pacific, Southwest",Tonnes - live weight,...,...,...,...,13240,8354,-,-
Uruguay,Swordfish,"Pacific, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Mayotte,Swordfish,"Indian Ocean, Western",Tonnes - live weight,21,22,28,28,42,25 F,26 F,26 F
Uruguay,Chola guitarfish,"Atlantic, Southwest",Tonnes - live weight,26,3,10,12,38,15,12,-
Other nei,Atlantic sailfish,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Italy,European sprat,Mediterranean and Black Sea,Tonnes - live weight,163,100,35,97,139,83,55,67
France,Greater weever,"Atlantic, Northeast",Tonnes - live weight,314,367,293,303,284,291,314,317
United States of America,Red hake,"Atlantic, Northwest",Tonnes - live weight,617,595,824,525,626,461,485,397
Sierra Leone,Dungat grouper,"Atlantic, Eastern Central",Tonnes - live weight,89 F,90 F,90 F,91 F,91,89 F,89 F,89 F
Viet Nam,Black marlin,"Pacific, Western Central",Tonnes - live weight,179,229,164,416,416,416,58,1137
France,Patagonian toothfish,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Norway,Atlantic cod,"Atlantic, Northwest",Tonnes - live weight,822,1469,1205,1386,1348,1422,1318,1240
Panama,Skipjack tuna,"Atlantic, Eastern Central",Tonnes - live weight,9944,13119,11211,15520,14565,4483,5419,8815
Philippines,Skipjack tuna,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,25
United Kingdom,Swordfish,"Indian Ocean, Western",Tonnes - live weight,204,228,541,395,159,76,142,284
Uruguay,Bigeye tuna,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
Philippines,Giant river prawn,Asia - Inland waters,Tonnes - live weight,1400,1616,1475,1664,1673,1480,1297,1144
United States of America,Yellowfin tuna,"Pacific, Northeast",Tonnes - live weight,1,4,2,6,1008,595,367,1747
United Kingdom,Albacore,"Indian Ocean, Eastern",Tonnes - live weight,3,3,0 0,0 0,5,6,1,-
United Kingdom,Haddock,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Un. Sov. Soc. Rep.,Haddock,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Eritrea,Longtail tuna,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Bigeye tuna,"Pacific, Western Central",Tonnes - live weight,2091,1445,575,2209,1282,1076,937,1552
British Virgin Islands,Swordfish,"Atlantic, Western Central",Tonnes - live weight,3 F,4,0 0,0 0,0 0,0 0,0 0,0 0
Russian Federation,White whale,"Atlantic, Northeast",Number,-,7,3,-,-,-,-,-
Japan,Marine crabs nei,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,...
Italy,Sand steenbras,Mediterranean and Black Sea,Tonnes - live weight,574,710,568,926,479,575,467,324
Malta,Red gurnard,Mediterranean and Black Sea,Tonnes - live weight,...,...,...,...,...,0 0,1,1
Ukraine,Argentines,"Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,White hake,"Atlantic, Northwest",Tonnes - live weight,1807,2907,2771,2238,1869,1638,1365,2022
New Zealand,Picked dogfish,"Pacific, Southwest",Tonnes - live weight,4015,3222,5970,4973,6051,6092,4817,6411
Slovenia,Black bullhead,Europe - Inland waters,Tonnes - live weight,-,-,-,-,-,-,5,2
Un. Sov. Soc. Rep.,Haddock,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Un. Sov. Soc. Rep.,Swordfish,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Bigeye tuna,"Pacific, Northeast",Tonnes - live weight,31,46,49,25,185,439,523,518
US Virgin Islands,Yellowfin tuna,"Atlantic, Western Central",Tonnes - live weight,...,...,3,0 0,5,2,5,2
United States of America,Yellowfin tuna,"Pacific, Western Central",Tonnes - live weight,11358,11344,16880,8220,11536,9677,8428,13959
Un. Sov. Soc. Rep.,Navaga(=Wachna cod),"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Norway,Atlantic cod,"Atlantic, Northeast",Tonnes - live weight,282660,338698,356746,469930,472129,420820,411249,411201
Panama,Skipjack tuna,"Atlantic, Western Central",Tonnes - live weight,-,-,-,543,410,-,119,-
Panama,Sperm whale,Antarctic areas nei,Number,-,-,-,-,-,-,-,-
Philippines,Skipjack tuna,"Indian Ocean, Eastern",Tonnes - live weight,-,-,-,-,-,-,-,120
United Kingdom,Haddock,"Atlantic, Northeast",Tonnes - live weight,33614,29836,35057,39742,36302,33264,34001,34441
United Kingdom,Swordfish,"Indian Ocean, Eastern",Tonnes - live weight,377,434,136,160,368,289,62,-
Uruguay,Yellowfin tuna,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
United Kingdom,Albacore,"Indian Ocean, Western",Tonnes - live weight,2,1,6,7,3,2,2,3
Russian Federation,Common dolphin,Mediterranean and Black Sea,Number,-,-,-,-,-,-,-,-
Yemen,"Rays, stingrays, mantas nei","Indian Ocean, Western",Tonnes - live weight,...,...,...,...,...,...,...,...
Italy,Salema,Mediterranean and Black Sea,Tonnes - live weight,312,345,200,114,259,404,265,183
Marshall Islands,Trochus shells nei,"Pacific, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Senegal,Dungat grouper,"Atlantic, Eastern Central",Tonnes - live weight,...,...,289,...,277,394,327,334
Slovenia,Brown bullhead,Europe - Inland waters,Tonnes - live weight,-,-,-,-,-,-,1,1
Un. Sov. Soc. Rep.,White hake,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Haddock,"Atlantic, Northwest",Tonnes - live weight,9806,5701,1892,1853,4525,5399,5015,5488
United States of America,Yellowfin tuna,"Pacific, Eastern Central",Tonnes - live weight,1091,1542,1656,1571,13046,11099,10555,17256
"Venezuela, Boliv Rep of",Albacore,"Atlantic, Western Central",Tonnes - live weight,288,247,312,274,464,560,587,603
Greece,Common cuttlefish,"Atlantic, Eastern Central",Tonnes - live weight,57,105,90,133,91,27,87,38
France,Marbled rockcod,"Indian Ocean, Antarctic",Tonnes - live weight,-,-,-,-,-,-,-,-
Germany,Marbled rockcod,"Atlantic, Antarctic",Tonnes - live weight,-,-,28,-,-,-,-,-
Un. Sov. Soc. Rep.,Red hake,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Morocco,Tope shark,"Atlantic, Eastern Central",Tonnes - live weight,...,19,7,13,120,45,35,1
Namibia,Blue antimora,"Indian Ocean, Antarctic",Tonnes - live weight,-,-,-,-,-,-,-,-
Panama,Frigate tuna,"Atlantic, Eastern Central",Tonnes - live weight,582,569,621,738,997,284,1356,-
"Venezuela, Boliv Rep of",Swordfish,"Atlantic, Western Central",Tonnes - live weight,24,18,25,24,24,29,53,52
Un. Sov. Soc. Rep.,Argentines,"Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,Skipjack tuna,"Indian Ocean, Western",Tonnes - live weight,2,1,...,...,...,...,-,-
Senegal,[Arius spp],Africa - Inland waters,Tonnes - live weight,5,1,28,50,37,88,62,67
United Kingdom,Black marlin,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Yellowfin tuna,"Pacific, Southwest",Tonnes - live weight,...,...,...,...,...,...,...,...
Spain,Thresher,"Pacific, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Bigeye tuna,"Pacific, Eastern Central",Tonnes - live weight,5924,5842,6334,7119,8516,9559,8939,9252
Norway,Greater forkbeard,"Atlantic, Northeast",Tonnes - live weight,573,558,532,552,482,497,554,371
Germany,Humped rockcod,"Atlantic, Antarctic",Tonnes - live weight,-,-,1,-,-,-,-,-
Greece,Common cuttlefish,Mediterranean and Black Sea,Tonnes - live weight,1390,1342,1104,1417,1115,878,1950,1671
"Venezuela, Boliv Rep of",Bigeye tuna,"Atlantic, Western Central",Tonnes - live weight,85,264,98,94,169,132,156,318
Croatia,Round sardinella,Mediterranean and Black Sea,Tonnes - live weight,...,75,88,74,7,31,97,131
Côte d'Ivoire,Marine crabs nei,"Atlantic, Eastern Central",Tonnes - live weight,10,7,8,8,5,5 F,5 F,5 F
Morocco,Tope shark,Mediterranean and Black Sea,Tonnes - live weight,...,6,2,4,7,15,6,3
Peru,Sperm whale,Marine areas outside the Antarctic,Number,-,-,-,-,-,-,-,-
Ukraine,Swordfish,"Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Senegal,Amberjacks nei,"Atlantic, Eastern Central",Tonnes - live weight,93,123,126,175,122,223,189,201
South Africa,Leerfish,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Swordfish,"Pacific, Eastern Central",Tonnes - live weight,1430,1176,1080,759,1125,927,744,1162
United States of America,Albacore,"Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Ireland,Scup,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
France,Greater weever,Mediterranean and Black Sea,Tonnes - live weight,14,17,15,13,18,16,14,13
France,Grey rockcod,"Indian Ocean, Antarctic",Tonnes - live weight,2,-,-,-,-,0 0,-,-
Martinique,Cero,"Atlantic, Western Central",Tonnes - live weight,...,...,...,...,...,...,...,...
"Venezuela, Boliv Rep of",Yellowfin tuna,"Atlantic, Western Central",Tonnes - live weight,4783,4419,4837,5050,3772,3122,4198,5054
Netherlands,Picked dogfish,"Atlantic, Northeast",Tonnes - live weight,8,2,4,2,0 0,1,1,2
Peru,Minke whale,Marine areas outside the Antarctic,Number,-,-,-,-,-,-,-,-
Philippines,Skipjack tuna,"Pacific, Western Central",Tonnes - live weight,178192,125445,147539,143957,183585,148507,125683,110941
Taiwan Province of China,American alligator,Asia - Inland waters,Number,30,31,33,37,32,36,32,27
United States of America,Albacore,"Pacific, Eastern Central",Tonnes - live weight,418,722,877,585,228,294,405,252
Samoa,Black marlin,"Pacific, Eastern Central",Tonnes - live weight,15,5,10,5,8,7,4,6
Serbia,Sterlet sturgeon,Europe - Inland waters,Tonnes - live weight,22,22,19,19,15,7,6,9
India,Marine crabs nei,"Indian Ocean, Western",Tonnes - live weight,7541,10684,7660,10743,9261 F,9464 F,11279 F,10642 F
Germany,Humped rockcod,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Striped marlin,"Pacific, Eastern Central",Tonnes - live weight,155,413,298,446,488,529,457,462
Malta,Red scorpionfish,Mediterranean and Black Sea,Tonnes - live weight,...,...,...,...,...,34,27,28
Uruguay,Albacore,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
Norway,Tusk(=Cusk),"Atlantic, Northeast",Tonnes - live weight,17004,14753,13431,11431,11406,13738,14804,10191
Russian Federation,Harbour porpoise,Mediterranean and Black Sea,Number,-,-,-,-,-,-,-,-
Saint Vincent/Grenadines,Humpback whale,Marine areas outside the Antarctic,Number,3,2,2,4,2,-,-,1
United Kingdom,Black marlin,"Atlantic, Eastern Central",Tonnes - live weight,1,24,-,-,-,-,-,-
United States of America,Albacore,"Pacific, Western Central",Tonnes - live weight,-,-,-,220,-,659,128,26
British Virgin Islands,Yellowfin tuna,"Atlantic, Western Central",Tonnes - live weight,...,1,1,3,10,5,5,5 F
Senegal,Leerfish,"Atlantic, Eastern Central",Tonnes - live weight,172,139,81,208,450,99,543,234
United States of America,Swordfish,"Pacific, Northeast",Tonnes - live weight,370,619,402,533,568,617,619,672
United Kingdom,Yellowfin tuna,"Indian Ocean, Western",Tonnes - live weight,18,7,46,50,16,10,28,21
United Kingdom,Bigeye tuna,"Indian Ocean, Eastern",Tonnes - live weight,-,-,-,-,-,-,-,-
Ireland,European sprat,"Atlantic, Northeast",Tonnes - live weight,3201,3931,9726,5454,2991,10371,4763,4260
India,Marine crabs nei,"Indian Ocean, Eastern",Tonnes - live weight,33544,21398,31394,44031,36800 F,38000 F,45400 F,42834 F
United States of America,Albacore,"Pacific, Northeast",Tonnes - live weight,11556,11015,13897,12914,12359,11259,10437,7453
Italy,Scup,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Jamaica,Marine crabs nei,"Atlantic, Western Central",Tonnes - live weight,...,...,...,...,...,...,...,...
Japan,Marine crabs nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
United Kingdom,Yellowfin tuna,"Indian Ocean, Eastern",Tonnes - live weight,28,35,9,3,70,75,14,-
Uruguay,Swordfish,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
"Venezuela, Boliv Rep of",Atlantic sailfish,"Atlantic, Western Central",Tonnes - live weight,498,590,543,341,210,152,246,387
Netherlands,Ling,"Atlantic, Northeast",Tonnes - live weight,2,2,1,4,4,2,2,2
New Zealand,Blue antimora,"Atlantic, Antarctic",Tonnes - live weight,2,2,2,3,3,1,2,2
Norway,Tusk(=Cusk),"Atlantic, Northwest",Tonnes - live weight,9,1,8,1,1,6,1,-
Peru,Common dolphin,Marine areas outside the Antarctic,Number,-,-,-,-,-,-,-,-
United Kingdom,Bigeye tuna,"Indian Ocean, Western",Tonnes - live weight,2,3,3,-,-,-,-,2
Portugal,Sperm whale,Marine areas outside the Antarctic,Number,-,-,-,-,-,-,-,-
Japan,Marine crabs nei,"Pacific, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Kenya,Marine crabs nei,"Indian Ocean, Western",Tonnes - live weight,168,206,235,274,180,193,163,...
Netherlands,Greater forkbeard,"Atlantic, Northeast",Tonnes - live weight,...,...,...,...,...,...,1,-
"Venezuela, Boliv Rep of",Bigeye tuna,"Pacific, Eastern Central",Tonnes - live weight,232,9,411,90,120,97,462,1058 F
Samoa,Swordfish,"Pacific, Eastern Central",Tonnes - live weight,7,5,5,3,4,5,4,16
Papua New Guinea,Skipjack tuna,"Pacific, Western Central",Tonnes - live weight,147241,121044,165434,136203,174126,159529,198389,189288
Other nei,Yellowfin tuna,"Pacific, Southeast",Tonnes - live weight,400,...,...,...,...,...,...,-
Portugal,Skipjack tuna,"Atlantic, Eastern Central",Tonnes - live weight,688,306,1568,209,1717,116,43,674
Un. Sov. Soc. Rep.,Bigeye tuna,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Swordfish,"Atlantic, Western Central",Tonnes - live weight,969,1220,1493,1055,703,631,638,605
United Kingdom,Yellowfin tuna,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
United Kingdom,Albacore,"Atlantic, Northeast",Tonnes - live weight,118,57,50,133,136,31,0 0,0 0
France,Humped rockcod,"Atlantic, Antarctic",Tonnes - live weight,-,-,-,-,-,-,-,-
Norway,Picked dogfish,"Atlantic, Northeast",Tonnes - live weight,540,247,285,250,313,217,270,222
Belgium,European flounder,"Atlantic, Northeast",Tonnes - live weight,299,322,401,387,379,306,218,117
Poland,Skipjack tuna,"Atlantic, Eastern Central",Tonnes - live weight,-,168,43,9,1,-,6,-
Other nei,Bigeye tuna,"Pacific, Southeast",Tonnes - live weight,3,...,...,...,...,...,...,-
Samoa,Albacore,"Pacific, Eastern Central",Tonnes - live weight,2529,1415,2038,1642,808,840,946,2374
Zanzibar,Clupeoids nei,"Indian Ocean, Western",Tonnes - live weight,2473,2026,1893,1987,2047,2140,2160,2187
Portugal,Minke whale,Marine areas outside the Antarctic,Number,-,-,-,-,-,-,-,-
United States of America,Albacore,"Atlantic, Western Central",Tonnes - live weight,56,91,83,84,78,94,88,89
"Venezuela, Boliv Rep of",Yellowfin tuna,"Pacific, Eastern Central",Tonnes - live weight,24200,14932,16010,19092,19436,22716,19480,13629 F
Senegal,Atlantic bumper,"Atlantic, Eastern Central",Tonnes - live weight,3300,5335,7197,10587,2336,5129,...,3007
Spain,Leerfish,Mediterranean and Black Sea,Tonnes - live weight,154,63,28,20,23,22,18,46
Un. Sov. Soc. Rep.,Yellowfin tuna,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
United Kingdom,Bigeye tuna,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
United Kingdom,Swordfish,"Atlantic, Northeast",Tonnes - live weight,0 0,-,-,-,-,-,-,0 0
United States of America,Black marlin,"Pacific, Eastern Central",Tonnes - live weight,-,0 0,1,2,10,5,8,8
Pakistan,Skipjack tuna,"Indian Ocean, Western",Tonnes - live weight,8345,7260,5734,5863,2956,6088,3549,1243
Ireland,Abalones nei,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Greece,Round sardinella,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,-,1010,1009
Uruguay,"Rays, stingrays, mantas nei","Pacific, Antarctic",Tonnes - live weight,-,-,-,-,-,-,-,0 0
Viet Nam,Bigeye tuna,"Pacific, Western Central",Tonnes - live weight,3412,4718,5089,3465,4183,4966,4867,3374
Samoa,Striped marlin,"Pacific, Eastern Central",Tonnes - live weight,16,4,3,5,4,4,3,2
Croatia,Common cuttlefish,Mediterranean and Black Sea,Tonnes - live weight,86,105,169,189,202,193,113,106
Uruguay,Swordfish,"Atlantic, Southwest",Tonnes - live weight,222,179,40,103,-,-,-,-
Netherlands,Tusk(=Cusk),"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,1,1,-
Norway,Blue ling,"Atlantic, Northeast",Tonnes - live weight,526,318,325,278,193,536,243,244
Yugoslavia SFR,"Rays, stingrays, mantas nei",Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,-,-,-
United Kingdom,Albacore,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Albacore,"Atlantic, Northeast",Tonnes - live weight,...,...,...,...,...,...,...,...
United Kingdom,Bigeye tuna,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Norway,Ling,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Swordfish,"Atlantic, Northwest",Tonnes - live weight,796,934,1149,1080,650,713,518,447
Portugal,Skipjack tuna,"Atlantic, Northeast",Tonnes - live weight,11586,3768,1582,3829,749,1233,701,1124
Russian Federation,White whale,"Pacific, Northwest",Number,-,6,38,8,46,21,-,-
Spain,Amberjacks nei,"Atlantic, Southwest",Tonnes - live weight,3,-,-,0 0,-,-,-,1
Un. Sov. Soc. Rep.,Swordfish,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Italy,Marine crabs nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,0 0
Ireland,Marine crabs nei,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,0 0,-,-,-
Japan,Longlegged spiny lobster,"Pacific, Northwest",Tonnes - live weight,1193,1120,1215,1186,1297,1199,1119,1100
Japan,Scup,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Mauritania,Smooth-hound,"Atlantic, Eastern Central",Tonnes - live weight,100,283,549,315,476,522,510,778
Norway,Ling,"Atlantic, Northeast",Tonnes - live weight,18413,15821,15724,15536,16887,17596,18104,18481
Norway,Blue ling,"Atlantic, Northwest",Tonnes - live weight,-,-,1,0 0,-,-,-,-
"Congo, Dem. Rep. of the","Rays, stingrays, mantas nei","Atlantic, Eastern Central",Tonnes - live weight,539,600 F,650 F,700,706,725,116,120 F
